house_price,listing_price,price_development,number_of_rooms,living_area,secondary_area,plot_area,year_built,operating_cost,sale_date,neighborhood,latitude,longitude,secondary_area_missing,month,year
6450000,6595000,-145000,4,105,65,840,1962,30199,2024-12-03,Sibbarp,55.7996202,12.9710498464661,0,12,2024
4850000,4995000,-145000,4,112,0,425,2011,31458,2024-12-02,Tygelsjö,55.5174699,12.98566,1,12,2024
3387500,3395000,-7500,5,127,21,424,1976,66028,2024-11-28,Kyrkby,55.54965965,13.0941191,0,11,2024
3520000,3495000,25000,5,115,115,628,1966,30643,2024-11-28,Kyrkby,55.5440813,13.0965045,0,11,2024
8050000,7750000,300000,7,148,118,819,1944,41050,2024-11-28,Djupadal,55.57890885,12.9548780281177,0,11,2024
5895000,5995000,-100000,5,146,30,345,2004,39000,2024-11-28,Kvarnby,55.5868687,13.1003170425624,0,11,2024
3000000,3495000,-495000,6,122,94,1225,1957,31351,2024-11-26,Käglinge,55.53038755,13.07687645,0,11,2024
9850000,10195000,-345000,12,289,137,726,1950,18640,2024-11-26,Rosenvång,55.5794643,12.9581168438531,0,11,2024
5700000,5595000,105000,6,158,33,671,1986,38473,2024-11-25,Husie,55.58749635,13.0915006818925,0,11,2024
5450000,5695000,-245000,4,134,164,813,1967,41292,2024-11-24,Käglinge,63.8120037,20.2607898928514,0,11,2024
2800000,3295000,-495000,6,131,0,316,1979,31950,2024-11-23,Kyrkby,55.5493782,13.09776455,1,11,2024
9800000,9995000,-195000,9,248,20,762,2012,26902,2024-11-23,Bunkeflostrand,55.402194,12.9868812,0,11,2024
6800000,7450000,-650000,6,154,94,474,2009,30207,2024-11-22,Husie,55.94507015,12.8037160578736,0,11,2024
4470000,4495000,-25000,6,153,0,670,1975,34855,2024-11-20,Husie,55.5842664,13.0820291070982,1,11,2024
7250000,7495000,-245000,5,140,66,1097,1997,40208,2024-11-18,Klagshamn,56.6187273,12.9382892,0,11,2024
16400000,15900000,500000,8,254,84,1005,1980,81580,2024-11-18,Fridhem,55.5984827,12.9672867850016,0,11,2024
4050000,4395000,-345000,5,90,68,852,1930,32819,2024-11-15,Valdemarsro,55.6091479,13.0749712829936,0,11,2024
6495000,6495000,0,6,146,20,400,2005,48763,2024-11-15,Klagshamn,58.4221463,15.5797287932971,0,11,2024
5570000,5695000,-125000,7,208,14,599,1969,39435,2024-11-15,Husie,57.7060139765117,14.1663304226216,0,11,2024
