house_price,number_of_rooms,living_area,secondary_area,plot_area,year_built,operating_cost,sale_date,neighborhood,latitude,longitude,secondary_area_missing,month,year
4350000,5,146,138,500,1976,47700,2022-12-09,Riseberga,55.59706545,13.0745937,0,12,2022
8400000,4,125,87,846,1966,39641,2022-12-02,Limhamn,55.5752252,12.9173702307959,0,12,2022
4200000,4,128,35,580,1966,24808,2022-12-02,Djupadal,55.57193665,12.957255,0,12,2022
6275000,5,116,70,656,1923,61219,2022-12-02,Rostorp,55.6145768,13.0450489522048,0,12,2022
4395000,3,55,0,107,1874,20800,2022-11-27,Limhamn,55.58518565,12.9339618,1,11,2022
6445000,4,127,0,690,1960,47425,2022-11-25,Limhamn,59.38366795,13.4721770480036,1,11,2022
6710000,5,154,0,695,2006,28060,2022-11-17,Bunkeflostrand,55.5499569,12.9245225,1,11,2022
6800000,7,155,110,669,1932,52544,2022-11-16,Limhamn,60.18916645,24.9186454207424,0,11,2022
16500000,7,250,130,1276,1943,37500,2022-11-14,Sjösida,55.5915125,12.9514149942194,0,11,2022
5700000,5,150,0,474,2008,49822,2022-11-11,Tygelsjö,56.69919915,16.3642921106073,1,11,2022
4500000,5,136,47,464,1983,31200,2022-11-02,Husie,55.5849095,13.0776276449871,0,11,2022
9000000,6,162,57,635,1929,39700,2022-10-27,Limhamn,58.1460104,11.8312119,0,10,2022
3680000,5,135,24,539,1961,30200,2022-10-26,Husie,55.59090105,13.0622429,0,10,2022
10100000,5,204,109,726,1936,68434,2022-10-23,Limhamn,55.5825472,12.9582949,0,10,2022
4300000,4,117,24,636,1975,43636,2022-10-17,Kastanjegården,55.55411275,13.0222848282017,0,10,2022
6450000,6,170,100,646,1977,58560,2022-09-23,Bellevue,55.58261175,12.9695872409694,0,9,2022
6200000,5,130,0,276,2012,51427,2022-09-09,Klagshamn,55.527293,12.9387699,1,9,2022
4800000,5,133,30,386,1962,36250,2022-09-07,Djupadal,55.5762788,12.9659098,0,9,2022
5550000,6,155,15,1072,1986,28300,2022-09-07,Husie,55.5879473,13.10231375,0,9,2022
7100000,7,160,0,355,1909,53885,2022-09-02,Sibbarp,55.57544615,12.92295885,1,9,2022
8400000,6,188,116,811,1934,51000,2022-09-01,Limhamn,59.3429386,18.0343267,0,9,2022
3200000,3,110,40,422,1927,15501,2022-08-24,Gullvik,55.5659663,13.0333462,0,8,2022
5150000,5,120,126,245,1934,39409,2022-08-23,Johanneslust,55.6004285,13.0419435,0,8,2022
8800000,5,150,0,364,1990,54071,2022-08-12,Limhamn,57.41906025,15.0685417865126,1,8,2022
4950000,5,178,0,690,1977,2568,2022-08-11,Oxie,55.5302188,13.0745409,1,8,2022
8500000,5,125,70,708,1955,64200,2022-07-26,Limhamn,55.57755345,12.950441974839,0,7,2022
5100000,8,161,20,435,1992,51200,2022-07-18,Oxie,55.542078,13.1129292,0,7,2022
10700000,10,195,170,902,1928,58600,2022-07-13,Limhamn,55.5848198,12.9392107,0,7,2022
5000000,5,145,120,733,1962,39149,2022-07-08,Gullvik,55.5742377,13.02862995,0,7,2022
7700000,5,148,15,500,1971,31430,2022-07-07,Djupadal,55.56858,12.9575675,0,7,2022
5130000,5,109,41,452,1966,33952,2022-07-06,Bunkeflostrand,59.7995875,17.6418468,0,7,2022
14850000,6,200,110,1056,1923,53588,2022-06-29,Mellanheden,55.586512,12.95839805,0,6,2022
6500000,4,110,58,578,1923,30196,2022-06-27,Håkanstorp,55.59786725,13.0461962446702,0,6,2022
13600000,6,180,112,1106,1945,40900,2022-06-23,Sjösida,55.59398465,12.955352747974,0,6,2022
5700000,7,205,29,882,1975,52491,2022-06-23,Kyrkby,55.5528317,13.0998669855172,0,6,2022
7200000,5,167,40,791,2022,4374,2022-06-20,Husie,55.6040683,13.1080148,0,6,2022
4850000,5,209,16,518,1968,49696,2022-06-20,Villastad,55.5751465,13.07151295,0,6,2022
6100000,5,130,0,330,2012,38660,2022-06-14,Klagshamn,55.527293,12.9387699,1,6,2022
10500000,5,186,29,570,1964,54000,2022-06-14,Solbacken,55.58815435,12.9730258639349,0,6,2022
5100000,3,108,21,286,1909,41723,2022-06-14,Vintrie,55.5545747,12.959595,0,6,2022
6825000,5,140,67,768,1924,54999,2022-06-10,Johanneslust,55.6017845,13.0484357,0,6,2022
5590000,4,137,0,665,1983,36735,2022-06-10,Bergdala,55.55845055,12.9968557712808,1,6,2022
4900000,6,150,0,527,1980,35300,2022-06-10,Hindby,55.5746479,13.0453927152586,1,6,2022
4580000,4,136,20,744,1991,41794,2022-06-08,Käglinge,55.5332664,13.0816884153733,0,6,2022
6950000,5,135,5,518,1966,43928,2022-06-07,Djupadal,55.57602395,12.95896195,0,6,2022
4300000,5,98,52,302,1919,22500,2022-06-07,Eriksfält,55.57617845,13.0100783613821,0,6,2022
10775000,5,129,40,499,1920,43500,2022-06-07,Limhamn,57.7053995,11.9597941,0,6,2022
5150000,4,112,62,905,1936,8360,2022-06-06,Videdal,55.58456575,13.0670138,0,6,2022
6225000,5,115,55,800,1930,24244,2022-06-03,Kulladal,55.5701165,12.9903776085775,0,6,2022
4995000,5,89,0,296,1909,26400,2022-06-03,Hyllieby,59.3807293,17.9158462,1,6,2022
5200000,4,162,17,705,1909,43535,2022-05-31,Tygelsjö,56.6842371,12.881422001374,0,5,2022
3950000,5,91,16,524,1962,44600,2022-05-26,Riseberga,55.59835075,13.0802412067001,0,5,2022
6295000,5,144,18,306,1970,40533,2022-05-18,Djupadal,55.57185865,12.9643871349703,0,5,2022
14000000,7,299,100,1354,1962,56120,2022-05-16,Bellevue,55.5843745,12.9604308357747,0,5,2022
4740000,6,176,52,419,1978,34939,2022-05-12,Kristineberg,55.54570325,13.0745857,0,5,2022
6400000,5,106,0,274,1920,34490,2022-05-04,Eriksfält,55.57608565,13.01016665,1,5,2022
6550000,6,174,134,987,1979,47900,2022-05-04,Gullvik,55.56836205,13.0289575572992,0,5,2022
7750000,5,160,0,889,1968,65450,2022-05-02,Bunkeflostrand,55.5615953,12.9136661424195,1,5,2022
7500000,6,153,10,417,2008,38437,2022-04-22,Bunkeflostrand,55.5518738,12.9299077,0,4,2022
6500000,6,189,44,1088,1929,45570,2022-04-19,Klagshamn,55.5210766,12.9362209490826,0,4,2022
8400000,6,147,50,561,1957,42180,2022-04-08,Limhamn,63.1677831,14.655726794798,0,4,2022
7050000,5,135,0,532,2007,43577,2022-04-07,Bunkeflostrand,55.5510224,12.9297046,1,4,2022
5275000,6,148,62,544,1948,46059,2022-04-03,Hindby,55.5762993,13.0311683514516,0,4,2022
5900000,5,122,0,450,1975,33800,2022-04-01,Bunkeflostrand,55.5479174,12.9099166,1,4,2022
4625000,7,105,73,969,1932,42377,2022-03-29,Gullvik,55.56842325,13.0353788,0,3,2022
20000000,7,250,130,1276,1943,35490,2022-03-29,Sjösida,55.5915125,12.9514149942194,0,3,2022
7900000,6,163,36,835,2018,30000,2022-03-28,Oxie,56.0734305,12.9500194,0,3,2022
5510000,5,151,10,341,2005,46028,2022-03-28,Kristineberg,56.1007428,12.7533394669623,0,3,2022
7450000,5,145,10,350,2007,35418,2022-03-24,Bunkeflostrand,55.5510224,12.9297046,0,3,2022
11800000,6,176,0,775,2020,29440,2022-03-22,Bellevue,55.58198065,12.9701932382388,1,3,2022
3550000,3,65,0,516,1946,29790,2022-03-19,Bunkeflostrand,55.5416902,12.916659,1,3,2022
7705000,4,152,0,651,2006,28800,2022-03-17,Bunkeflostrand,55.56046315,12.92465715,1,3,2022
