slutpris,utgangspris,prisutv,antal_rum,boarea,biarea,tomtarea,byggar,driftkostnad,sälj_datum,område,latitude,longitude
4850000,4595000,255000,4,100,27,442,1962,32001,28 augusti 2024,Riseberga,55.59789865,13.0806016229161
7850000,7995000,-145000,5,164,68,745,1949,45272,28 augusti 2024,Rosenvång,55.58135315,12.9611856100809
6100000,5750000,350000,4,116,10,389,1987,34700,28 augusti 2024,Hyllieby,55.5700577,12.9631123
6400000,6675000,-275000,5,137,21,438,2005,33397,27 augusti 2024,Bunkeflostrand,55.5500927,12.9197979
4560000,4695000,-135000,3,100,10,335,1929,34856,27 augusti 2024,Kvarnby,55.5895808,13.1029448
7000000,7495000,-495000,7,210,42,625,2018,65400,27 augusti 2024,Gullvik,55.5717519,13.0328416
7250000,6990000,260000,5,185,25,568,1977,NA,23 augusti 2024,Bunkeflostrand,55.7527849,12.9039535
3020000,2995000,25000,4,117,52,412,1973,31500,23 augusti 2024,Oxie,55.5434545,13.1037694368801
4325000,4495000,-170000,5,125,28,865,1991,31187,23 augusti 2024,Käglinge,55.5332664,13.0816884153733
7900000,7250000,650000,5,160,80,704,1946,28198,23 augusti 2024,Rosenvång,55.5798992,12.95717905
6750000,6750000,0,5,152,NA,445,2005,35200,23 augusti 2024,Bunkeflostrand,55.5499569,12.9245225
